trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",35,-34,-301.1381473921403,"{0: 44, 1: 5, 2: 13, 3: 3, 4: 4}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,-25,-77.6051569639862,"{0: 38, 1: 5, 2: 4, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,-54,-264.1399288955964,"{0: 49, 1: 5, 2: 16, 3: 0, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,7,-25.121003554971033,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,-32,-208.5147104150165,"{0: 39, 1: 2, 2: 6, 3: 0, 4: 5}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,-20,-180.35433076484387,"{0: 25, 1: 3, 2: 8, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,4,-116.73357177965501,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 3}",1
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",30,12,-46.89531370390367,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,13,7.789108714747822,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",25,-18,-143.20757857970813,"{0: 35, 1: 1, 2: 3, 3: 0, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,12,-6.828043294439242,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-79.99895552644988,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,14,3.0199078700581543,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,-10,-107.9232752510167,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",30,12,-81.18555008014278,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",20,-38,-94.62211809901196,"{0: 44, 1: 3, 2: 9, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,-13,-0.10046901118482365,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,7,-6.1351141786250905,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,14,-7.246265408774908,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,-48,-274.87287962718244,"{0: 42, 1: 7, 2: 14, 3: 2, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,-12,-64.37906334192348,"{0: 29, 1: 1, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,1,-68.95095065100443,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,8,-98.0622543458222,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,-7,-52.588624123634084,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,-32,-135.27310708376893,"{0: 38, 1: 1, 2: 9, 3: 3, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,-17,-82.19922294388074,"{0: 37, 1: 1, 2: 6, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,3,-3.0017044323689106,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,6,-25.80639090054848,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,-13,-7.936251794959221,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,3,4.626413048058302,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,-13,-30.885265617584512,"{0: 27, 1: 1, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,13,-15.783730983200014,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,16,7.37782284259115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,-3,-64.11911495425558,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,7,7.535640428385738,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,8,15.73395868277881,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",25,13,5.838642149101078,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",20,-16,-90.1061663318413,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,-1,-26.41872473639957,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,0,-57.50378011643234,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,-7,-16.67766939778771,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",20,9,-43.30129399790214,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",20,6,1.2172680872908737,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",30,-15,-20.32971717263438,"{0: 40, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",25,0,-141.20071072745478,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",20,6,-12.41251409727029,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",20,10,-19.693040918985997,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",20,15,10.107813537599743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",25,10,6.612793667498105,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",25,9,16.819379664666304,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",30,20,-31.07391832770058,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.392711028357805}",25,13,4.330152079391276,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",25,5,-29.225218311621205,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",25,7,-19.894044596699057,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",25,19,11.898712517156435,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",25,3,-28.56564668444823,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,15,-12.490691108740538,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,-6,-57.30578427057919,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",25,-14,9.204855764511958,"{0: 36, 1: 1, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",20,13,0.23110829180614223,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",30,16,13.111767385047592,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",25,11,-39.569143132682036,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",20,9,0.47303859496988254,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",20,9,-26.20299384170606,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",35,-19,-104.41507271016866,"{0: 45, 1: 1, 2: 4, 3: 1, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,3,7.891569710726871,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,-6,-21.51510062025203,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,17,13.16503359990999,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,15,15.149918961650524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,8,-8.634758359788528,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,15,-68.42261016269434,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,11,15.693023678393086,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,14,-0.04860316305108725,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,14,9.336483886002632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,-2,28.945589713597922,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,13,13.812229554711507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,11,2.720400061549978,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,8,-48.24368539579175,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
