trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",20,2,-43.075249983605445,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",25,12,23.424959789682745,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",20,12,13.35971867874434,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",25,13,-14.631470143170471,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",20,15,-1.1646499667341712,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",20,9,10.766649127951448,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",20,7,7.271003157852872,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",20,4,28.166125928447794,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",20,8,20.384890954535983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778965}",20,13,7.990795598153191,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671176}",30,10,26.03903183365266,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384465}",25,14,12.748501969503355,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1526797322759062}",30,4,-54.1085409346878,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 2}",1
188,False,"{'a': 0.5, 'e': 0.15115293495314713}",25,16,3.683868220865942,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361566}",20,16,8.075107064501204,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.1481449915475795}",25,11,30.06020491285219,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.1466635416321037}",25,-12,46.914260304143475,"{0: 35, 1: 1, 2: 1, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.14519690621578268}",20,3,9.437123441054393,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
